"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.456,1.5838,6.313,2.989,6.313,1.5838,-1.51172132774265,1.59302585640911
8.45767,1.5828,6.317,2.996,6.317,1.5828,-1.52721643585787,1.61083359670041
8.458,1.5823,6.3196,2.989,6.3196,1.5823,-1.53496398991548,1.62240862788977
8.459,1.5813,6.3237,2.989,6.3237,1.5813,-1.55045909803069,1.64066156168835
8.46,1.5808,6.325,2.989,6.325,1.5808,-1.5582066520883,1.64644907728302
8.461,1.5798,6.3298,2.9816,6.3298,1.5798,-1.57370176020352,1.66781836563259
8.462,1.5798,6.3298,2.989,6.3298,1.5798,-1.57370176020352,1.66781836563259
8.463,1.5787,6.333,2.989,6.333,1.5787,-1.59074637913026,1.68206455786563
8.464,1.5782,6.336,2.989,6.336,1.5782,-1.59849393318786,1.69542036308411
8.4656,1.5777,6.338,2.989,6.338,1.5777,-1.60624148724548,1.70432423322976
